"condition","product_choice","bi_women","price_fairness","similarity","cost_women","cost_men","age","income","mc_justification","feedback"
"1","1",0,2.875,6,2,2,43,2500,"The two shampoos used different adjectives to describe them. I think the women's shampoo said it was ""specially formulated to clean and ______ all hair types.""  I can't remember the second adjective for the women's shampoo. The mens shampoo was  described as ""as specially designed to clean and revitalize all hair types"".",NA
"1","1",2,2.75,4,0.74,0.74,23,714,"Both men and women's shampoos were designed for all hair types and seemed gendered just by name. They cost $13.99 each for a 25oz bottle of either.","None"
"1","3",0,4,7,3,3,47,1200,"Shampoo formulated for all hair types","It was hard to determine if 1 or 7 was most or least, because there was no labels on them."
"1","1",6,1,7,1,1,47,6000,"Clean and revitalize and the other was clean and invingorate","everything was super clear"
"1","1",0,2.5,7,2,2,57,10000,"Women or mens shampoo",NA
"1","1",4,6,5,4,4,67,4500,"Good for all hair types",NA
"1","1",0,3.125,4,5,5,45,5000,"Shampoo for all hair types",NA
"1","1",2,4.875,7,2,2,22,1600,"They were both for all hair types and were the same price",NA
"1","1",2,3.25,6,5,5,34,8334,"I remember they were both designed to cleanse but the womens shampoo said it would revitalize and the mens said it would invigorate",NA
"1","1",4,4,3,10,10,29,7080,"Both women and men shampoo cost 13.99 usd","NO"
"1","1",3,2.25,4,2.75,2.75,45,60000,"works on all hair types",NA
"1","1",2,3.25,5,2.99,2.99,48,3300,"They revitalize and invigorate and are for all hair types",NA
"1","3",0,1,4,1,1,59,2000,"men and women shampoo 25 oz formulated $13.99",NA
"1","1",0,5.125,7,5,5,30,6000,"The both invigorate the hair",NA
"1","1",4,3.25,7,3.99,3.99,71,2500,"25 oz of men or women's shampoo for all hair types.  Same price.","Thank you for allowing me to participate!"
"1","1",6,7,5,10,10,26,60000,"It is good for all hair types",NA
"1","1",1,7,7,11,11,60,13500,"Both product have cleanse function and they are of same price of $13.99","interested"
"1","3",1,1.375,4,3,3,38,2500,"They were both basic everyday shampoo for all hair types. Just marketed to men v women.",NA
"1","1",6,3.25,6,2,2,50,3000,"man and womens shampoo for all hair types 13.99",NA
"1","3",0,1,5,4,3,54,300,"Women's shampoo controls frizz",NA
"1","1",0,1,3,2.99,2.99,79,1688,"Both shampoos State they cleanse your hair. But the women's shampoo says it revitalizes your hair and the men's shampoo says it invigorates your hair.",NA
"1","1",4,3.25,6,2,2,47,1800,"Both items had the same description and price except one was called Men's and one was called Women's. It said it refreshed all types of hair.",NA
"1","1",3,4.125,5,2,2,34,4000,"mens or womens",NA
"1","1",3,3.875,6,5,5,67,2200,"Both talked about how it will make you hair  I can not remember the exact words","thank you"
"1","1",2,2.125,4,1,1,49,8000,"The men's & women's shampoo were both $13.99. The men's shampoo claimed to invigorate the hair","none"
"1","1",1,5.875,4,5,5,42,19000,"Shampoo is all I really recall",NA
"1","3",0,2.375,5,0.5,0.5,35,10000,"13.99 for 25 Fluid oz, and both are good for all hair types",NA
"1","1",3,2.25,7,3,2,33,5000,"Shampoo that is revitalizing",NA
"1","1",3,1,6,4,4,44,7500,"Designed to clean all types of hair. Both were 13.99",NA
"1","1",3,7,5,1.25,1.25,60,20000,"There was a man's shampoo and a woman's shampoo. They both were revitalizing shampoos for all hair types priced at $13.99",NA
"1","1",6,6,6,1,1,71,4000,"same price, different gender, to clean hair",NA
"1","1",6,1.625,5,1,1,36,4000,"25oz women's shampoo for 25.99 and 25oz men's shampoo for 25.99",NA
"1","3",0,2.5,7,5,5,50,2000,"they both cost the same. they were the same size. they both had same cleaning ability",NA
"1","1",3,5.875,7,3,3,54,50000,"woman shampoo, is for all hair types, it cleans and rejuvenize hair, men shampoo, is for all types, it cleans and is invigorating.",NA
"1","3",0,1.75,7,0.25,0.25,55,600,"I remember they were both 13.99 and were for all kinds of hair types.",NA
"1","1",5,5.5,5,2,2,57,4500,"They both just said they were designed for all hair types.",NA
"1","1",3,5.75,7,2,2,44,5000,"They were designed for all types of hair",NA
"1","3",1,2.5,6,5,5,55,3000,"The women’s shampoo promised to cleanse and restore. The men’s shampoo promised to cleanse and invigorate.",NA
"1","1",4,5.625,6,10,2,30,4580,"It is specially formulated to cleanse and revitalize all hair types for women.
It is to specially designed to invigorate all types of hair for men.",NA
"1","1",5,1,7,4,4,61,1500,"shampoo made for all types of hair","Thank you"
"1","1",3,4.375,5,6,4,26,90000,"A shampoo that can work for all hair type one for women and the other for men",NA
"1","1",4,5.5,5,9,6,31,1600,"Both shampoos were for all hair types and they both cost the same thing","N/a"
"1","1",1,5.5,6,7,7,26,3500,"I don't remember the women's shampoo very well, but I remember the men's shampoo was to ""cleanse and invigorate"" the hair",NA
"1","1",4,3.875,6,1.75,1.75,58,2000,"The women's shampoo, at $13.99 for 25 ounces is specially formulated to cleanse and revitalize, while the men's shampoo, at the same price and volume, is designed to cleanse and invigorate.","Thank you for the opportunity to participate in this study, and the chance to provide feedback. My own understanding of shampoos told me the formulas would very possibly be the same except for scent. Depending upon ingredients, shampoo manufacturing prices can vary widely, and there are many that use cheap, caustic ingredients but charge far too much for them due to advertising costs. I don't buy expensive shampoo unless I know the formulation is very healthy and uses much more natural, gentle ingredients that are not toxic on the skin."
"1","1",0,4.375,6,0.12,0.12,54,1500,"All I remember is that they were women's and men's and cost $13.99",NA
"1","1",4,6.125,6,2,2,74,4500,"Both shampoos are priced are 13.99 and both have invigorating and cleansing.","Thank you"
"1","1",4,5.375,6,3,3,31,4100,"for all hair types",NA
"1","1",2,1,6,4,2,37,150,"formulated to cleanse and invigorate/revitalize all types of hair",NA
"1","1",1,4.75,6,2,2,55,75000,"one was invorgating the other revitalizing.","No."
"1","3",0,3,4,2,2,70,6500,"Two bottles of shampoo, 23-25 oz, one mens and one womens for $13.99",NA
"1","1",3,6,2,4,2,29,4400,"Both shampoos were 25 fluid oz and cost $13.99. They were said to be able to cleanse and revitalize (although this part was slightly worded differently between the two products) all hair types.",NA
"1","1",2,7,6,3,3,37,2000,"The women's shampoo said that it revitalizes all hair types. The men's shampoo said that it would invigorate all hair types. Both were listed as $13.99.",NA
"1","1",1,3,7,7,7,24,70000,"This shampoo has been specially formulated to cleanse and revitalize all hair types",NA
"1","1",2,3.875,7,5,5,31,2000,"This shampoo is made to cleanse and revitalize all hair types. Men's shampoo cleanses and invigorates all hair types.","None"
"1","3",0,1,1,5,10,55,19000,"Men and women's shampoo for a high price",NA
"1","1",3,5.625,5,1,1,57,1667,"The shampoos had the same product description and only differed in the Men vs. Women labeling. Both had the same $13.99 price",NA
"1","1",3,6.25,6,5.75,5.75,35,5000,"There was a very small  difference between the two descriptions. For the women's shampoo, it was described as being specially formulated to revitalize while the men's was designed to invigorate.",NA
"1","1",2,2.75,3,3,3,50,650,"Women's shampoo 25 oz for 13.99. Men's shampoo, same size, same price. No mention of whether either are safe for color treated hair.",NA
"1","2",0,5.625,2,3,3,50,32000,"The women shampoo had a brief description and the men’s said it clarifies",NA
"1","1",0,3.75,7,2,2,51,1200,"said was for all types of hair","na"
"1","1",2,4.875,6,4,4,51,2133,"Both products were 25 fluid ounces. They both cost $13.99. Both were designed to cleanse hair. One revitalized hair types. The other invigorates hair types.","It might not even cost them as much as $4 to make a bottle. I know they're probably making a good profit. Plus the store/seller is a making a profit, too."
"1","1",4,5.875,7,10,10,62,8000,"women and men's shampoo","good"
"1","1",2,2.625,6,2,2,47,7200,"They were both $13.99 for 25 oz",NA
"1","1",2,7,7,7,7,34,3800,"13.99 - Both were formulated for all hair types.","Thanks for the opportunity!"
"1","1",0,5.5,4,2,2,44,2000,"They were both very basic and didn't give much information",NA
"1","1",5,4.75,6,1.5,1.5,28,500,"Both were intended to cleanse, while one was to invigorate and the other to revitalize",NA
"1","3",2,3.875,7,4,4,57,3200,"They both cleanse and one used the word ""revitalize"" and one ""invigorate""",NA
"1","2",-2,2.625,7,5,5,44,1200,"Both shampoo's were similar in description and said they were formulated to cleanse all hair types. One word was different from each description.","None"
"1","1",6,7,7,12,12,71,5390,"MEN SHAMPOO",NA
"1","1",6,5.125,1,9,8,20,4600,"The female shampoo is good to revitalize all hair types.","None"
"1","1",4,6,6,7,7,41,12000,"They both cost the same, were the same amount, and were used to clean hair",NA
"1","1",2,5.125,4,5,4,48,500,"There were women and men shampoos, they both had a same price. Men shampoo was for all types of hair.",NA
"1","2",0,2.75,6,2,2,36,9000,"The women’s shampoo was meant to revitalize the hair. While the men’s shampoo was meant to invigorate the hair.",NA
"1","1",4,3.5,6,5,5,38,3000,"the women's shampoo stated that it revitalized hair",NA
"1","1",3,3,4,5,3,30,3000,"good for all hair types",NA
"1","1",5,6,2,7,7,27,4500,"Women's and Men's Shampoo was $3.99",NA
"1","3",0,3.75,7,2,2,57,2000,"The women's shampoo was ""formulated"" to clean all hair types. The men's shampoo was ""designed"" to clean all hair types.",NA
"1","3",1,5,7,4,4,27,4000,"They both claimed to revitalize/invigorate hair.",NA
"1","3",0,5.5,7,1,1,62,600,"Thirteen-ninety-nine was the price for the invigorating cleansing shampoos.","25 ounces is a lot"
"1","1",0,1,4,5,5,21,75000,"I remember they cost $13.99",NA
"1","1",4,5,4,3,3,33,51000,"The women one was to clean and revitalize while the men one was to clean and invigorate","n/a"
"1","1",2,4.5,4,3,3,39,3500,"It was designed to revitalize all hair types.",NA
"1","1",5,6.5,4,4,4,65,124000,"cleans and invigrates your hair",NA
"1","1",4,2.875,3,1.5,1.5,37,12000,"Both shampoos advertise that they are made for every type of hair","n/a"
"1","3",0,3,7,1,1,63,750,"This shampoo is designed to clean and revitalize all types of hair",NA
"1","1",1,4.375,5,6,6,40,30000,"They were both 25oz bottles and both cost $13.99. There was only one difference: the women's was revitalizing, and the men's wasn't. I think it was invigorating, but I can't remember.",NA
"1","1",3,2.625,3,3,3,52,4000,"Women's shampoo and Men's shampoo that are both good for all hair types.  Price was 13.99 or 14.99",NA
"1","1",5,2.375,6,1,1,39,2500,"both shampoos had the same price and claimed they did the same things, which was generic and now I don't recall verbatim, but they were identical in wording.",NA
"1","3",1,2,4,1,1,54,7500,"the women's shampoo was supposed to 'cleanse and revitalize' and the men's shampoo was supposed to 'cleanse and invigorate'",NA
"1","1",2,7,6,900,9,35,1500,"one was designed to clense and protect hair and one was formulated",NA
"1","3",2,1.875,7,1,1,40,7000,"Shampoo that has been specially formulated, 25 fl ounces, $13.99.","n/a"
"1","2",2,1,6,3,3,32,4000,"Both shampoos can cleanse all types of hair.",NA
"1","1",1,3.25,5,6,6,36,2500,"One product said that it would invigorate hair. The other shampoo said it was formulated for all hair types to revitalize the hair.","Thank you for the study"
"1","1",4,2.75,6,10,10,56,12000,"invigorating and clean","none"
"1","1",1,2.75,6,3.5,3.5,62,2500,"Both descriptions were the same and were about the functionality but I really don't remember the wording","Hair care products have gotten way too expensive"
"1","1",1,6,6,10,10,64,50000,"Men's and women's hair shampoo for all types of hair for $13.99","Nice survey"
"1","1",4,3.25,7,6,6,61,2000,"the men's shampoo stated it was invigorating which I think appeals to men",NA
"1","1",5,2,7,1.5,1.5,35,2000,"Womens shampoo - revitalize and clean hair 13.99

Mens shampoo - revitalize and clean hair 13.99","thank you"
"1","1",3,2,7,0.8,0.8,65,1258,"Men and womens shampoo both 13.99.  Both state they are suitable for all hair types.",NA
"1","1",1,1.25,3,3,4,59,3000,"The women's shampoo was 13.99. It was formulated to cleanse all hair types.
The men's shampoo was 13.99. It was formulated to cleanse and invigorate all hair types.","Thank you."
"1","3",1,4,5,2,2,41,2000,"one said invigorating, maybe refreshing",NA
"1","1",3,6.625,4,4.99,4.99,24,3000,"They were described as clean and invigorating","I am not sure if this adds anything but as a black woman I would typically go for shampoos specifically designed for curly and thicker hair types so in general I avoid most shampoos."
"1","3",2,1,4,1,1,54,1,"Both shampoos weighed the same and both cost the same amount.",NA
"1","1",0,6.5,7,5,5,44,4000,"Both the women's and men's shampoos are 25 fl oz, cost $13.99, and are formulated to cleanse and revitalize/invigorate all hair types",NA
"1","1",4,2.875,6,2,2,56,2000,"The descriptions were essentially the same with the exception of a single word change. The women's shampoo said it was specially formulated to cleanse and something all types of hair, while the men's shampoo said it was specially formulated to cleanse and invigorate all types of hair.",NA
"1","1",0,5.75,6,10,10,36,600,"I remember that both the women's and men's shampoos were revitalizing and had the same features. I didn't see much difference between the two types, except for the gender.","N/A"
"1","1",4,3.5,5,8,8,19,4600,"They were both able to repair all types of hair",NA
"1","1",2,5,3,6,6,24,3000,"Revitalizing hair shampoo",NA
"1","1",4,5.75,4,13,13,54,5300,"women shampoo is meant to revitalize all types of hair while the men shampoo is meant to invigorate all hair types.",NA
"1","2",-3,6,6,8,8,26,5800,"Women’s shampoo: Specially made to cleanse and revitalize all hair types.

Men’s shampoo: Designed to cleanse and invigorate all types of hair.","Thanks for the study"
"1","1",1,7,6,10,10,24,155000,"It cleanses and revitalizes all hair types.",NA
"1","1",6,6.5,3,10,10,47,80000,"For the women and men shampoo it was designed to work on all hairs",NA
"1","1",2,4.75,6,4,4,57,5e+05,"both shampoo cleanse hair one revitalize and the other invigorates","nice"
"1","1",6,7,3,6,6,26,29999,"They were both designed for all types of hair.",NA
"1","1",4,6.25,6,8,7,36,160000,"I remember the price was $13.99.",NA
"1","1",3,4.875,6,2.5,2.5,80,6500,"Cleans hair very well.","n/a"
"1","1",2,2,2,5,5,32,4500,"They were essentially the same but the women’s was revitalized and the men’s was reinvigorated",NA
"1","1",6,7,3,5.99,2.99,24,1,"Womens shampoo provides clean and smooth hair. I do not remember the mens description.",NA
"1","1",3,2,7,1.5,1.5,46,1500,"Descriptions were the same, except the one for men used the word ""invigorate"" and the women's used ""revitalize.""",NA
"1","1",2,5,6,3,3,34,6800,"They both had the same description which revitalized hair",NA
"1","3",2,2.125,4,3,3,56,4000,"25 Oz for 13.99. Formulated to cleanse and revitalize hair, for the women's shampoo.
25 Oz for 13.99. Formulated to cleanse and invigorate hair, for the men's shampoo.","I probably should have marked the men's shampoo as being even cheaper to manufacture,  but it was how I felt at the time.  Good survey. Very interesting."
"1","1",4,1,6,2,2,41,400,"The man's shampoo was invigorating and the prices of the shampoos were high","n/a"
"1","2",-1,5,7,2,2,26,1900,"luxurious shine","na"
"1","1",3,6.5,7,3,3,53,4000,"Shampoo cleanses and vitalizes the hair","Thank you"
"1","1",2,3.625,4,5,5,40,5000,"the womens shampoo revitalized hair and I cannot remember what the mens did.",NA
"1","3",0,4,7,2,2,33,1500,"The product descriptions were exactly the same. Suitable for all yada yada. They were both just expensive. I'm in the 5-8 range...",NA
"1","1",4,4.375,5,5,2,55,88000,"Invigorate and revitalize",NA
"1","1",3,7,7,0.79,0.79,37,23000,"Both the men and women's shampoo comes in 25 oz bottles for 13.99. They both does the same things like revitilizes and clenses the hair.",NA
"1","1",6,6.5,7,9.99,9.99,58,33000,"women and men's shampoo revitalizing shampoo. price 13.99","none"
"1","1",1,3.25,3,1,1,37,1000,"Women’s and men’s shampoo",NA
"1","1",2,3.125,4,1.99,1.99,56,6000,"both products were the same price. both products contained the same amount of product.",NA
"1","1",4,5,5,2,2,72,40000,"The price was $13.99 for either shampoo. One shampoo was for women. The other shampoo was for men and said for all hair types.","Fun study!"
"1","1",2,5.5,6,4,4,26,2000,"Cleanse and revitalize hair",NA
"1","1",4,2.625,4,2,2,30,69000,"The women’s said it was designed to cleanse and revitalize all hair types. The men’s said it was designed to cleanse and reinvigorate all hair types.","The scales to indicate agreement/disagreement were not clearly labeled and were confusing as to which number was agreement or disagreement."
"1","1",3,5.5,6,12,10,40,4000,"It cleanses and invigorates all hair types.

 
Men’s shampoo (25 Fluid Ounce): $13.99

Product Description: This shampoo has been designed to cleanse and invigorate all types of hair.

",NA
"1","1",3,5.875,5,7,7,36,3000,"The shampoo is $13.99 and cleanses hair.",NA
"2","1",2,3.5,5,3,2.5,29,10000,"Said women's was specially formulated",NA
"2","3",-2,2.625,5,5,5,37,6500,"Both said they were formulated to cleanse all hair, while one said invigorate and the other said revitalize.",NA
"2","2",-3,1,7,3,3,57,3100,"They both said that the would revitalize/invigorate hair. The descriptions used synonyms but essentially made the same claims for both products.",NA
"2","1",2,3.875,2,9,5,30,6658,"women shampoo was higher price to mens shampoo","no please"
"2","3",1,2,4,4,1,36,2500,"made for revitalizing hair",NA
"2","1",1,1.25,7,6,6,53,500,"The women's shampoo stated that it was specially formulated to cleanse and revitalize all types of hair. The men's stated that is has been designed to cleanse and invigorate all types of hair.","thank you"
"2","2",-3,1,7,2,2,61,1000,"Both shampoo's will clean and revitalize or invigorate your hair.","All good."
"2","3",1,4.625,5,2,2,30,1200,"It cleanses and rejuvenates all hair types.",NA
"2","1",6,7,4,8,6,59,60000,"Good for all hair types",NA
"2","2",-6,4,7,5,5,33,9000,"Both products had the same fl oz. They had different descriptions but the men's specified that it was good for all hair types. The men's was 9.99 while the women's cost 13.99.",NA
"2","1",3,3.125,4,5,3,22,500,"Women’s shampoo cleanses and revitalizes.
Men shampoo cleanses and invigorates.",NA
"2","1",6,1.625,7,1,1,43,1400,"I recall that the women's shampoo was more than the men's shampoo.",NA
"2","1",4,6.875,6,5.99,4.99,65,4000,"13.99 for the womens shampoo, revitalizing shampoo for women. 9.99 for the mens shampoo and it was ?",NA
"2","1",3,4.875,4,7,7,65,15000,"Cleansing",NA
"2","3",0,1,4,1,1,44,4500,"Invigorating shampoo.",NA
"2","3",1,3.25,6,2,2,72,3000,"Shampoo was formulated for all types of hair, although each used a different adjective in the description. Basically for anybody to use.",NA
"2","2",-3,4.125,7,1,1,39,300,"The women's shampoo was $13.99 and the men's shampoo was $9.99. Both had the same description of working for all hair types.",NA
"2","2",-3,4.25,6,4,4,35,10000,"Both shampoos were designed for all hair types. They claimed to cleanse as well as revitalize hair.",NA
"2","1",2,3.125,5,1,1,61,18000,"The women's shampoo was 13.99 and the men's shampoo was 9.99 for the same size bottle","I would have no issue using the lower priced men's shampoo if the fragrance was the same.  Since no indication was given, I chose the higher priced shampoo to avoid a strong masculine smell."
"2","2",-2,2,7,6,6,78,1650,"both are suitable for all types of hair, but the women's is priced higher.  Most similar situations the same holds true.",NA
"2","2",-2,1.875,7,3,3,32,5000,"invigorates all types of hair",NA
"2","2",0,1.25,7,2,2,33,3333,"specially formulated to cleanse and invigorate all types of hair",NA
"2","2",-4,2.625,6,5,4,28,72900,"There where two shapoo products one for women hich was 13.99 $ and men shapoo which was 9.99$.","i enjoyed doing the study and it was great"
"2","1",4,3.125,7,2,2,63,50000,"The women's shampoo is formulated to revitalize all hair types while the men's shampoo is formulated to invigorate all hair types.","N/A"
"2","2",-4,1.125,7,3,3,41,4300,"Formulated to be revitalizing and invigorating for all hair types.",NA
"2","1",2,5.5,5,3,3,34,20000,"This product is specially formulated for all hair types",NA
"2","1",2,4.375,5,4,4,36,6000,"They were both specially formulated to do something but I don't recall what that something was. I know the wording was different - one said something like ""specially formulated"" and the other said something like ""was designed""","Income included mine and my spouses"
"2","1",3,2.375,6,1,1,35,25000,"shampoo designed to clean and revitalize (women's) / invigorate (men's) hair.",NA
"2","2",-3,4.625,7,2.5,2.5,36,4128,"Both men's and women's shampoo are formulated for all hair types","easy to follow and understand"
