StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_yn,attention_check,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,women_price,women_unit,men_price,men_unit,bi_binary,bi_women_1,bi_men_1,price_fairness_1,price_fairness_2,price_fairness_3,price_fairness_4,price_fairness_5,price_fairness_6,price_fairness_7,price_fairness_8,similarity_1,prosociality_1,prosociality_2,value_alignment_1,value_alignment_2,gender_equality_1,gender_equality_2,gender_equality_3,gender_equality_4,price_sensitivity_1,price_sensitivity_2,price_sensitivity_3,price_sensitivity_4,mc_price,mc_justification,ce_control_women,ce_control_men,ce_pt_women,ce_pt_men,age,income,feedback,PROLIFIC_PID,STUDY_ID,SESSION_ID,MainCondition
2025/8/9 12:28,2025/8/9 12:33,0,135.84.201.196,100,327,1,2025/8/9 12:33,R_16nm8PenrutKrEL,,,,,35.6854,-88.8281,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,4,4,4,3,6,6,7,6,4,1,1,4,4,7,7,7,7,7,2,2,7,3,The shampoos were both 25 ounces and cost $13.99.  They were both formulated to clean hair.,2,2,,,50,500,"You asked for my monthly income.  I do not work outside the home.  I do mystery shopping and Prolific, Mturk, etc.  So I make about $500 per month.  My husband does work.  He makes $12000 before taxes each month.",66298b9925888b2e93c3d3de,68978cff1781f97e87b044a1,68979330263479493ddade39,1
2025/8/9 12:30,2025/8/9 12:33,0,24.245.194.6,100,214,1,2025/8/9 12:33,R_11saZMrSbF2sbJV,,,,,43.4918,-116.4201,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,5,5,6,5,2,2,1,1,5,4,4,4,4,7,7,7,4,5,6,7,3,3,"they had the same descriptions, however, one word was changed. ",2,2,,,33,8100,,63bce1f5fd754309a47160d8,68978cff1781f97e87b044a1,689793ac4dd05a6135bef7a2,1
2025/8/9 12:28,2025/8/9 12:33,0,76.186.6.82,100,326,1,2025/8/9 12:33,R_3m1X00R1nj1t9Ut,,,,,29.5211,-98.3293,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,4,6,5,6,6,3,2,2,3,4,6,5,6,5,6,5,6,4,5,4,5,5,1,the women's cost more than then the men's,,,3,3,42,5000,,675c5ecb58b8fee50caff144,68978cff1781f97e87b044a1,68979342256ea05f3f87aad7,3A
2025/8/9 12:30,2025/8/9 12:33,0,75.87.205.121,100,218,1,2025/8/9 12:33,R_7Eb7ob98NKRTnQD,,,,,44.2682,-88.4265,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7,1,1,1,1,7,7,7,7,7,4,4,4,4,7,7,7,7,7,2,1,7,1,"The price was 13.99 for each product. The women's shampoo had 25 oz, the men's had 34 oz. The cost per ounce for the women's shampoo was 56 cents, the cost per ounce for the men's shampoo was 40 cents.",,,4,4,74,2800,none,6429ffe11a9806a9a95ad072,68978cff1781f97e87b044a1,689793b649b55d854d468705,2
2025/8/9 12:28,2025/8/9 12:34,0,71.69.137.164,100,403,1,2025/8/9 12:34,R_6r1CA4MRztwbWwP,,,,,35.7274,-77.9228,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,4,4,3,3,4,5,4,4,5,6,6,4,5,4,4,4,2,3,7,1,2,5,3,For all hair types.,,,0.5,0.5,45,4500,"I tjink women don’t need to be marginalized,but their are some things between men and women that just aren’t created equal.I don’t agree with men playing in womens sports.It is dangerous and ridiculous.Are women in men's sports?",67509e842a08ee314f43c29f,68978cff1781f97e87b044a1,6897932c692aa520976e7f40,3E
2025/8/9 12:28,2025/8/9 12:35,0,174.62.229.26,100,375,1,2025/8/9 12:35,R_7oBfSIcrKatvrrG,,,,,41.7405,-87.6587,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,4,1,1,1,1,7,7,7,7,4,1,1,1,1,7,7,7,7,7,1,1,7,1,"NO! I hate doing that, just ask questions about the products!",,,1.5,1.5,68,0,,5d6376ec7e447f001c971315,68978cff1781f97e87b044a1,6897933ac41724f19655ecd2,3D
2025/8/9 12:32,2025/8/9 12:35,0,172.59.25.64,100,224,1,2025/8/9 12:35,R_6QiKyRwFMDWqMwy,,,,,41.3847,-81.7982,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,7,7,7,7,3,3,2,1,1,7,7,7,7,7,4,2,7,2,They were both the same price but one was less ounces. ,,,6,5,52,30000,,671d0a511d7089c757cf2dcd,68978cff1781f97e87b044a1,68979426da1c4bff53f85680,2
2025/8/9 12:33,2025/8/9 12:38,0,24.125.42.178,100,274,1,2025/8/9 12:38,R_1v1e7YQvES5QDzb,,,,,33.8607,-84.6884,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,3,3,3,3,5,5,5,5,7,5,4,4,4,7,7,7,7,7,1,2,7,1,"The woman's said ""revitalize"" while the men's said ""invigorate"".",,,2,2,52,1000,,67fec87adf3559492e04deb1,68978cff1781f97e87b044a1,689794808631c7cc6b7ae1f1,3E
2025/8/9 12:34,2025/8/9 12:38,0,99.87.236.226,100,284,1,2025/8/9 12:38,R_3mEGSgW5no71oGN,,,,,35.2842,-80.8719,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,4,4,3,6,3,2,2,4,7,5,5,4,4,4,2,2,1,4,3,4,4,3,There was a men and a women's shampoo with basically the same description. ,8,8,,,47,0.01,,656a67828a3cf09f538c7fc4,68978cff1781f97e87b044a1,6897949b6c0076995e94c7da,1
2025/8/9 12:32,2025/8/9 12:38,0,104.139.112.4,100,386,1,2025/8/9 12:39,R_1uGBk49tHCIxvEJ,,,,,35.6577,-78.3837,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,4,3,4,5,2,2,2,2,5,4,4,5,5,7,6,7,7,7,4,3,3,3,"Revitalize, clean ",4,4,,,65,6000,,67706c2903678ec1d0b17352,68978cff1781f97e87b044a1,68979433f7446b890902dee5,1
2025/8/9 12:36,2025/8/9 12:40,0,50.113.44.53,100,213,1,2025/8/9 12:40,R_7mJX7yRJGZtZ9K6,,,,,21.3133,-157.823,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,5,5,5,5,2,2,2,4,6,6,4,6,2,7,7,7,7,7,6,6,5,3,women's donated 1% to charity while men's did not,,,6,6,59,61000,,58c3a8c1b101a70001293790,68978cff1781f97e87b044a1,689795261c3612e75819b5cf,3E
2025/8/9 12:36,2025/8/9 12:40,0,172.56.75.85,100,250,1,2025/8/9 12:40,R_5YJqg1FWyxZQMZd,,,,,28.4998,-81.3288,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,4,4,4,2,2,6,5,6,6,5,4,6,6,6,4,4,4,6,3,4,6,2,Versatile fot all hair types ,,,3,3,47,33000,,671b1613bc7c45cc441fb78b,68978cff1781f97e87b044a1,6897951978cdf0231e47c803,3A
2025/8/9 12:30,2025/8/9 12:40,0,174.200.137.113,100,597,1,2025/8/9 12:40,R_6kTES12A5XUFnAg,,,,,41.85,-87.7165,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,5,5,6,6,2,2,2,2,2,4,4,6,3,6,6,6,4,6,4,2,6,1,Both shampoos were the same price but the women's shampoo had less ounces in the bottle but it was more nurishing for the hair by having oils in it.,,,2.5,2.25,22,18000,,6687f3a4aca3e2d5a6ca8d8b,68978cff1781f97e87b044a1,689793c8a847c9fdaba6fbb9,3C
2025/8/9 12:30,2025/8/9 12:40,0,184.187.51.162,100,644,1,2025/8/9 12:40,R_1w1CDmTmNiCedhH,,,,,36.8531,-76.2194,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,4,5,5,6,4,3,2,5,6,4,4,3,4,3,3,2,2,6,5,5,6,1,"Women's shampoo was the same price but was a smaller size, it was for all hair types and had a pink floral package. Men's shampoo was a slightly larger size and was for all hair types, packaging was unremarkable. ",,,3,2.9,32,11500,,677fea8903ad496f30f16502,68978cff1781f97e87b044a1,689793a444bd3c2d20d24fcc,3B
2025/8/9 12:28,2025/8/9 12:40,0,47.132.72.183,100,777,1,2025/8/9 12:40,R_6DvjlnLIWeJqXw1,,,,,34.157,-77.9136,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,1,1,1,7,7,7,7,7,3,3,2,2,3,3,7,6,7,1,2,7,1,"Women's shampoo (25 ounce): 
Price: $13.99 ($0.56/ounce) 
Function: Clean and revitalize hair of all types

Men's shampoo (35 ounce):
Price: $13.99 ($0.40/ounce)
Function: Clean and invigorate hair of all types",,,1,1,37,3000,,65c193ee2725b7aa17d96235,68978cff1781f97e87b044a1,6897932f3e90f3f7b9d52158,2
2025/8/9 12:30,2025/8/9 12:41,0,71.204.2.253,100,665,1,2025/8/9 12:41,R_1Orewn5tCjXniqV,,,,,33.7173,-84.4783,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7,4,4,5,3,5,5,5,4,7,7,7,3,5,5,6,6,7,6,3,4,6,1,the women's brand was pink pastel and i think 53 cents per unit.,,,5.99,5.99,69,1858,,67e2f87c6e3741dd0aeb1cb1,68978cff1781f97e87b044a1,689793745191c9a2b6c38e45,3B
2025/8/9 12:34,2025/8/9 12:41,0,24.251.204.178,100,409,1,2025/8/9 12:41,R_1MaPDxoHk0soFXz,,,,,33.3813,-111.6409,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,3,3,3,5,5,5,5,4,5,5,3,3,5,5,5,5,6,2,5,6,1,WOMEN AND MEN'S SHAMPOO WITH A FOCUS ON THE ARTISTIC PACKAGING DESIGN,,,0.4,0.4,69,4000,THANK YOU,66d76d7e0523ccc0cd1a8606,68978cff1781f97e87b044a1,689794c9b1921730a726b059,3A
2025/8/9 12:34,2025/8/9 12:41,0,104.182.158.40,100,435,1,2025/8/9 12:41,R_1h3bRzo27SZpKzP,,,,,35.2426,-80.741,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,4,2,4,5,4,6,1,6,2,4,4,7,4,7,4,6,1,7,4,5,5,1,"Men product focused on cleansing, women's product has more moisturizing ingredients. Both were $13.99, but the men's bottle was bigger.",,,5,3,45,4000,"Thought provoking, thanks",63b7852af635d2133764fcc8,68978cff1781f97e87b044a1,68979428f38f4a444f905063,3C
2025/8/9 12:38,2025/8/9 12:43,0,174.244.85.103,100,288,1,2025/8/9 12:43,R_3Pnc7CDxD5fO4uO,,,,,30.2304,-97.7243,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,3,2,1,3,5,6,4,7,6,4,4,2,2,7,6,2,1,7,4,4,5,3,Shampoos are meant to invigorate and revitalize ,,,2,2,30,12000,,672121c74a9874455d1c2170,68978cff1781f97e87b044a1,6897959053f924f71ad34a21,2
2025/8/9 12:32,2025/8/9 12:47,0,68.58.188.2,100,917,1,2025/8/9 12:47,R_6pDTkgX7KHaUblU,,,,,42.3575,-83.2162,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,2,6,6,6,6,7,4,4,4,4,5,5,5,5,6,2,3,6,1,Cleans and invigorates all hair types.,,,2,3,41,2000,Thank you!,55b0029bfdf99b5c00619440,68978cff1781f97e87b044a1,68979432ce587e870ab4bc59,3D
2025/8/9 12:38,2025/8/9 12:48,0,172.56.116.221,100,580,1,2025/8/9 12:48,R_3z6w7oSUWU79lPX,,,,,42.2463,-70.9972,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,2,2,2,2,6,6,6,6,4,4,4,3,3,6,7,6,7,7,1,1,7,1,They are both formulated to cleanse all hair types.,,,3,3,48,3200,The fragrance wasn't listed in the description. It would matter to me. I prefer unscented or lightly scented products.,66b3c29a1b992bc51dbc2fd9,68978cff1781f97e87b044a1,689795b093c7d67eaa0971d6,3B
2025/8/9 12:40,2025/8/9 12:49,0,35.33.129.199,100,520,1,2025/8/9 12:49,R_1Hw4MHGVsiQeKLP,,,,,39.9625,-83.0061,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,2,3,2,2,6,6,6,7,4,5,6,6,5,5,4,7,6,7,1,2,6,3,Women's shampoo revitalizes hair and men's shampoo invitalizes hair,10,10,,,33,900,,65c11c2532bccb95dd86fcf1,68978cff1781f97e87b044a1,68979614d02e6c0a7b338aee,1
2025/8/9 12:30,2025/8/9 12:49,0,174.245.114.40,100,1127,1,2025/8/9 12:49,R_6jNgwm8tOTSfC2n,,,,,35.2916,-80.8201,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,4,4,5,3,3,5,4,4,5,6,3,6,4,7,3,1,1,5,3,4,4,3,Men and women's shampoo,,,8,7,61,25000,,644329db047ca34e6f0e4697,68978cff1781f97e87b044a1,689793adb9418dd2e71407c0,2
2025/8/9 12:29,2025/8/9 12:58,0,64.25.12.103,100,1699,1,2025/8/9 12:58,R_6BwWNiFhoA9u8nr,,,,,33.1976,-96.6178,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,5,5,5,5,2,2,2,2,6,4,4,4,4,5,5,5,4,5,2,4,3,3,13.99 for both mens and womens shampoo,1,1,,,40,2000,,60d29dcc8ee32f63b359d02d,68978cff1781f97e87b044a1,68979395ec1023db6c218439,1
2025/8/9 12:58,2025/8/9 13:05,0,73.5.29.24,100,412,1,2025/8/9 13:05,R_6TN2Hoee4EDc2jL,,,,,35.0514,-89.9265,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,4,3,4,3,4,2,2,2,7,4,4,3,3,7,4,4,3,7,1,1,7,3,"There were 2 options, one women's shampoo, one men's shampoo.  The price for each was exactly the same for the same amount of product and each product was purported to ""cleanse & revitalize"" all hair types.",3,3,,,73,1800,N/A,67081d4d02dabc04bcb82a99,68978cff1781f97e87b044a1,68979a54f7daab8bf5f442d8,1
2025/8/10 7:37,2025/8/10 7:42,1,,100,319,1,2025/8/10 7:42,R_3YP416WcSAM603K,,,,,41.8018,-87.5993,preview,EN,1,2,,,,,,,,,,,,,,,,,,,,,13.99,0.56,13.99,0.4,,,,,2,3,6,6,5,6,6,2,3,2,2,2,4,4,4,4,6,6,6,6,6,5,3,5,1,tewst,,,10,9,33,10,test,,,,3D
